feature_index,feature_name,matrix_block,family,subfamily,source_column_or_encoder,transform,used_in_main_I_LightGBM_Dense_AF,note
111,gold_prefix_action_api_hits,dense,dense_numeric,structured_gold_answer_numeric,gold_prefix_action_api_hits,standardized numeric / bool cast / one-hot categorical,yes,
112,gold_prefix_feedback_api_hits,dense,dense_numeric,structured_gold_answer_numeric,gold_prefix_feedback_api_hits,standardized numeric / bool cast / one-hot categorical,yes,
113,gold_prefix_thought_api_hits,dense,dense_numeric,structured_gold_answer_numeric,gold_prefix_thought_api_hits,standardized numeric / bool cast / one-hot categorical,yes,
114,gold_last_action_api_hits,dense,dense_numeric,structured_gold_answer_numeric,gold_last_action_api_hits,standardized numeric / bool cast / one-hot categorical,yes,
115,gold_last_feedback_api_hits,dense,dense_numeric,structured_gold_answer_numeric,gold_last_feedback_api_hits,standardized numeric / bool cast / one-hot categorical,yes,
116,gold_last_thought_api_hits,dense,dense_numeric,structured_gold_answer_numeric,gold_last_thought_api_hits,standardized numeric / bool cast / one-hot categorical,yes,
117,gold_prefix_action_test_hits,dense,dense_numeric,structured_gold_answer_numeric,gold_prefix_action_test_hits,standardized numeric / bool cast / one-hot categorical,yes,
118,gold_prefix_feedback_test_hits,dense,dense_numeric,structured_gold_answer_numeric,gold_prefix_feedback_test_hits,standardized numeric / bool cast / one-hot categorical,yes,
119,gold_prefix_thought_test_hits,dense,dense_numeric,structured_gold_answer_numeric,gold_prefix_thought_test_hits,standardized numeric / bool cast / one-hot categorical,yes,
120,gold_last_action_test_hits,dense,dense_numeric,structured_gold_answer_numeric,gold_last_action_test_hits,standardized numeric / bool cast / one-hot categorical,yes,
121,gold_last_feedback_test_hits,dense,dense_numeric,structured_gold_answer_numeric,gold_last_feedback_test_hits,standardized numeric / bool cast / one-hot categorical,yes,
122,gold_last_thought_test_hits,dense,dense_numeric,structured_gold_answer_numeric,gold_last_thought_test_hits,standardized numeric / bool cast / one-hot categorical,yes,
123,has_any_action,dense,dense_bool,process_bool,has_any_action,standardized numeric / bool cast / one-hot categorical,yes,
124,last_step_has_tool_output,dense,dense_bool,last_step_bool,last_step_has_tool_output,standardized numeric / bool cast / one-hot categorical,yes,
125,last_step_has_observation,dense,dense_bool,last_step_bool,last_step_has_observation,standardized numeric / bool cast / one-hot categorical,yes,
126,last_step_tool_error_seen,dense,dense_bool,last_step_bool,last_step_tool_error_seen,standardized numeric / bool cast / one-hot categorical,yes,
127,last_step_traceback_seen,dense,dense_bool,last_step_bool,last_step_traceback_seen,standardized numeric / bool cast / one-hot categorical,yes,
128,last_step_test_fail_seen,dense,dense_bool,last_step_bool,last_step_test_fail_seen,standardized numeric / bool cast / one-hot categorical,yes,
129,last_step_test_pass_seen,dense,dense_bool,last_step_bool,last_step_test_pass_seen,standardized numeric / bool cast / one-hot categorical,yes,
130,first_edit_seen,dense,dense_bool,process_bool,first_edit_seen,standardized numeric / bool cast / one-hot categorical,yes,
131,first_test_seen,dense,dense_bool,process_bool,first_test_seen,standardized numeric / bool cast / one-hot categorical,yes,
132,first_submit_seen,dense,dense_bool,process_bool,first_submit_seen,standardized numeric / bool cast / one-hot categorical,yes,
133,first_error_seen,dense,dense_bool,process_bool,first_error_seen,standardized numeric / bool cast / one-hot categorical,yes,
134,first_traceback_seen,dense,dense_bool,process_bool,first_traceback_seen,standardized numeric / bool cast / one-hot categorical,yes,
135,traceback_seen,dense,dense_bool,process_bool,traceback_seen,standardized numeric / bool cast / one-hot categorical,yes,
136,tool_error_seen,dense,dense_bool,process_bool,tool_error_seen,standardized numeric / bool cast / one-hot categorical,yes,
137,assertion_error_seen,dense,dense_bool,process_bool,assertion_error_seen,standardized numeric / bool cast / one-hot categorical,yes,
138,type_error_seen,dense,dense_bool,process_bool,type_error_seen,standardized numeric / bool cast / one-hot categorical,yes,
139,value_error_seen,dense,dense_bool,process_bool,value_error_seen,standardized numeric / bool cast / one-hot categorical,yes,
140,syntax_error_seen,dense,dense_bool,process_bool,syntax_error_seen,standardized numeric / bool cast / one-hot categorical,yes,
